t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
402,2025-08-29,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.3480349735907612,-0.06769239231780035,93,45,93,0,0,48,45,0.0071150310611314905
403,2025-09-01,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,-0.24993285786756583,0.00011913574445887292,93,42,93,0,0,42,51,0.006225883661872797
404,2025-09-02,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,-0.10202620035212316,0.007065363897531922,93,38,93,0,0,38,55,0.0030433499956938745
405,2025-09-03,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.6200799737399658,0.4551766704530386,93,34,93,0,0,34,59,0.005880325612215391
406,2025-09-04,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.2981409089552684,0.22963020769520892,93,27,93,0,0,27,66,0.007502688388069445
407,2025-09-05,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.4217271940556831,0.4132347965906986,93,21,93,0,0,21,72,0.00514769140570995
408,2025-09-08,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.5401808361433558,0.42215090054658566,93,32,93,0,0,32,61,0.0070645859439432525
409,2025-09-09,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.5466861627525289,0.36720104818851385,93,29,93,0,0,29,64,0.006497647873144732
410,2025-09-10,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.4528065411357464,0.37376129894319965,93,26,93,0,0,26,67,0.0039038395974140354
411,2025-09-11,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.20670824505386287,0.22734944571412796,93,35,93,0,0,35,58,0.0032787633994216104
412,2025-09-12,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.4299334546865208,0.4735522758481851,93,32,93,0,0,32,61,0.0049749894086120955
413,2025-09-15,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.39656829100892244,0.433604405647575,94,29,94,0,0,29,65,0.006261065887922719
414,2025-09-16,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.47244157063902037,0.522638269639194,94,35,94,0,0,35,59,0.008548646626877763
